1,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.00
1.1,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.10
1.2,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.20
1.3,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.30
1.4,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.40
1.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.50
1.6,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.60
1.7,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.70
1.8,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.80
1.9,pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.90
2,pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.00
2.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.50
3,pwtbst:1 AND pwtplt:inapp AND pwtpb: 3.00
3.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 3.50
4,pwtbst:1 AND pwtplt:inapp AND pwtpb: 4.00
4.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 4.50
5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 5.00
5.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 5.50
6,pwtbst:1 AND pwtplt:inapp AND pwtpb: 6.00
6.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 6.50
7,pwtbst:1 AND pwtplt:inapp AND pwtpb: 7.00
7.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 7.50
8,pwtbst:1 AND pwtplt:inapp AND pwtpb: 8.00
8.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 8.50
9,pwtbst:1 AND pwtplt:inapp AND pwtpb: 9.00
9.5,pwtbst:1 AND pwtplt:inapp AND pwtpb: 9.50
10,pwtbst:1 AND pwtplt:inapp AND pwtpb: 10.00
11,pwtbst:1 AND pwtplt:inapp AND pwtpb: 11.00
12,pwtbst:1 AND pwtplt:inapp AND pwtpb: 12.00
13,pwtbst:1 AND pwtplt:inapp AND pwtpb: 13.00
14,pwtbst:1 AND pwtplt:inapp AND pwtpb: 14.00
15,pwtbst:1 AND pwtplt:inapp AND pwtpb: 15.00
16,pwtbst:1 AND pwtplt:inapp AND pwtpb: 16.00
17,pwtbst:1 AND pwtplt:inapp AND pwtpb: 17.00
18,pwtbst:1 AND pwtplt:inapp AND pwtpb: 18.00
19,pwtbst:1 AND pwtplt:inapp AND pwtpb: 19.00
20,pwtbst:1 AND pwtplt:inapp AND pwtpb: 20.00
21,pwtbst:1 AND pwtplt:inapp AND pwtpb: 21.00
22,pwtbst:1 AND pwtplt:inapp AND pwtpb: 22.00
23,pwtbst:1 AND pwtplt:inapp AND pwtpb: 23.00
24,pwtbst:1 AND pwtplt:inapp AND pwtpb: 24.00
25,pwtbst:1 AND pwtplt:inapp AND pwtpb: 25.00
26,pwtbst:1 AND pwtplt:inapp AND pwtpb: 26.00
27,pwtbst:1 AND pwtplt:inapp AND pwtpb: 27.00
28,pwtbst:1 AND pwtplt:inapp AND pwtpb: 28.00
29,pwtbst:1 AND pwtplt:inapp AND pwtpb: 29.00
30,pwtbst:1 AND pwtplt:inapp AND pwtpb: 30.00
31,pwtbst:1 AND pwtplt:inapp AND pwtpb: 31.00
32,pwtbst:1 AND pwtplt:inapp AND pwtpb: 32.00
33,pwtbst:1 AND pwtplt:inapp AND pwtpb: 33.00
34,pwtbst:1 AND pwtplt:inapp AND pwtpb: 34.00
35,pwtbst:1 AND pwtplt:inapp AND pwtpb: 35.00
36,pwtbst:1 AND pwtplt:inapp AND pwtpb: 36.00
37,pwtbst:1 AND pwtplt:inapp AND pwtpb: 37.00
38,pwtbst:1 AND pwtplt:inapp AND pwtpb: 38.00
39,pwtbst:1 AND pwtplt:inapp AND pwtpb: 39.00
40,pwtbst:1 AND pwtplt:inapp AND pwtpb: 40.00
41,pwtbst:1 AND pwtplt:inapp AND pwtpb: 41.00
42,pwtbst:1 AND pwtplt:inapp AND pwtpb: 42.00
43,pwtbst:1 AND pwtplt:inapp AND pwtpb: 43.00
44,pwtbst:1 AND pwtplt:inapp AND pwtpb: 44.00
45,pwtbst:1 AND pwtplt:inapp AND pwtpb: 45.00
46,pwtbst:1 AND pwtplt:inapp AND pwtpb: 46.00
47,pwtbst:1 AND pwtplt:inapp AND pwtpb: 47.00
48,pwtbst:1 AND pwtplt:inapp AND pwtpb: 48.00
49,pwtbst:1 AND pwtplt:inapp AND pwtpb: 49.00
50,pwtbst:1 AND pwtplt:inapp AND pwtpb: 50.00
51,pwtbst:1 AND pwtplt:inapp AND pwtpb: 51.00
52,pwtbst:1 AND pwtplt:inapp AND pwtpb: 52.00
53,pwtbst:1 AND pwtplt:inapp AND pwtpb: 53.00
54,pwtbst:1 AND pwtplt:inapp AND pwtpb: 54.00
55,pwtbst:1 AND pwtplt:inapp AND pwtpb: 55.00
56,pwtbst:1 AND pwtplt:inapp AND pwtpb: 56.00
57,pwtbst:1 AND pwtplt:inapp AND pwtpb: 57.00
58,pwtbst:1 AND pwtplt:inapp AND pwtpb: 58.00
59,pwtbst:1 AND pwtplt:inapp AND pwtpb: 59.00
60,pwtbst:1 AND pwtplt:inapp AND pwtpb: 60.00
