0.3,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.30
pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.35"
0.4,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.40
pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.45"
0.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.55"
0.6,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.60
pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.65"
0.7,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.70
pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.75"
0.8,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.80
pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.85"
0.9,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.90
pwtbst:1 AND pwtplt:inapp AND pwtpb: 0.95"
1,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.05"
1.1,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.10
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.15"
1.2,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.20
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.25"
1.3,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.30
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.35"
1.4,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.40
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.45"
1.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.55"
1.6,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.60
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.65"
1.7,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.70
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.75"
1.8,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.80
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.85"
1.9,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.90
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.95"
2,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.05"
2.1,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.10
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.15"
2.2,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.20
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.25"
2.3,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.30
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.35"
2.4,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.40
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.45"
2.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.55"
2.6,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.60
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.65"
2.7,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.70
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.75"
2.8,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.80
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.85"
2.9,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.90
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.95"
